Time,Step,Contrastive Loss,Clustering Loss,[Representation] ACC,[Model] ACC,NMI Model,Note: JSD_no_ln2 with scale = 1/50
09/07/2021 19:31:56,0,1.1065367460250854,0.008112629875540733,0.7290923824959481,0.732739059967585,0.5924448479613248,_search_snippets_distil_lre-4_JSD
09/07/2021 19:33:33,50,2.3959481716156006,1.3573293685913086,0.7383306320907618,0.7336304700162074,0.5968841060578658,_search_snippets_distil_lre-4_JSD
09/07/2021 19:35:11,100,7.430763244628906,5.981534957885742,0.7418152350081038,0.7357374392220422,0.5884284556579563,_search_snippets_distil_lre-4_JSD
09/07/2021 19:36:43,150,10.143835067749023,8.597845077514648,0.7307941653160454,0.7380875202593193,0.5901615082572221,_search_snippets_distil_lre-4_JSD
09/07/2021 19:38:15,200,11.617429733276367,10.066740036010742,0.7394651539708266,0.7470826580226905,0.6082919293372774,_search_snippets_distil_lre-4_JSD
09/07/2021 19:39:51,250,12.40335464477539,10.797677040100098,0.7581037277147488,0.7509724473257698,0.6171079784237464,_search_snippets_distil_lre-4_JSD
09/07/2021 19:41:24,300,12.756505966186523,11.147132873535156,0.7582658022690437,0.7539708265802268,0.6208792178371012,_search_snippets_distil_lre-4_JSD
09/07/2021 19:42:55,350,12.93878173828125,11.270092010498047,0.7593192868719612,0.7512155591572123,0.6212154806083009,_search_snippets_distil_lre-4_JSD
09/07/2021 19:44:27,400,12.644824028015137,10.87955093383789,0.7562398703403566,0.7504051863857374,0.6238929475673912,_search_snippets_distil_lre-4_JSD
09/07/2021 19:46:00,450,12.546711921691895,10.76802921295166,0.7547811993517017,0.7477309562398703,0.6235869594439046,_search_snippets_distil_lre-4_JSD
09/07/2021 19:47:31,500,12.033923149108887,10.171935081481934,0.7536466774716369,0.7452998379254457,0.6235606707079111,_search_snippets_distil_lre-4_JSD
09/07/2021 19:49:02,550,11.901732444763184,9.994549751281738,0.753322528363047,0.7450567260940032,0.6234083413731509,_search_snippets_distil_lre-4_JSD
09/07/2021 19:50:32,600,11.71399974822998,9.685547828674316,0.7527552674230146,0.7407617504051864,0.6204407081171389,_search_snippets_distil_lre-4_JSD
09/07/2021 19:52:04,650,11.582797050476074,9.55612850189209,0.7718800648298217,0.7393841166936791,0.6228925390288241,_search_snippets_distil_lre-4_JSD
09/07/2021 19:53:35,700,11.36651611328125,9.32260513305664,0.7513776337115073,0.7353322528363047,0.6223299968686404,_search_snippets_distil_lre-4_JSD
09/07/2021 19:55:07,750,10.951728820800781,8.72023868560791,0.773419773095624,0.740194489465154,0.6230389586846086,_search_snippets_distil_lre-4_JSD
09/07/2021 19:56:38,800,10.675073623657227,8.336946487426758,0.75,0.7423014586709886,0.6231668288069673,_search_snippets_distil_lre-4_JSD
09/07/2021 19:58:09,850,10.640655517578125,8.311514854431152,0.7488654781199352,0.7417341977309563,0.6200677336821389,_search_snippets_distil_lre-4_JSD
09/07/2021 19:59:42,900,10.379958152770996,7.938198566436768,0.7752025931928688,0.7479740680713128,0.6203076554888938,_search_snippets_distil_lre-4_JSD
09/07/2021 20:01:13,950,10.255516052246094,7.8171467781066895,0.7499189627228525,0.7579416531604538,0.6218189447742867,_search_snippets_distil_lre-4_JSD
09/07/2021 20:02:43,1000,10.023483276367188,7.419354438781738,0.7489465153970827,0.7598865478119935,0.6208713706117165,_search_snippets_distil_lre-4_JSD
09/07/2021 20:04:14,1050,10.081985473632812,7.572812557220459,0.747001620745543,0.7639384116693679,0.6206199749866282,_search_snippets_distil_lre-4_JSD
09/07/2021 20:05:45,1100,9.889664649963379,7.265382766723633,0.7454619124797407,0.7669367909238249,0.6208025522447199,_search_snippets_distil_lre-4_JSD
09/07/2021 20:07:18,1150,9.858062744140625,7.237776279449463,0.7462722852512156,0.7747974068071313,0.6210497005592084,_search_snippets_distil_lre-4_JSD
09/07/2021 20:08:49,1200,9.665858268737793,6.872694969177246,0.7450567260940032,0.7793354943273906,0.6216496909626443,_search_snippets_distil_lre-4_JSD
